യുണൈറ്റഡിന്	For United
കൂപ്പുകുത്തുമോ	Will it collapse?
മിഷ്ടര്‍	Mishtar
റൊണോ	Rono
സ്വയംഭോഗം	Masturbation
സിത്താരയുടെയും	And Sithara and
വില്പന	Sale
കടമ്ബകള്‍	Obstacles
മാന്‍ഡ്രേക്കാവുമോ	Will it be Mandrake?
കാനണ്‍	Canon
മുതല്‍മുടക്ക്	Investment
റിലയന്‍സിനൊപ്പം	with Reliance
സന്തോഷിക്കാം	Let's be happy.
സെന്‍സെക്‌സ്	Sensex
നാഗാര്‍ജ്ജുനയോടും	and Nagarjuna
ഫോര്‍ബ്	Forb
ആലപ്പാട്ട്	Alappad
വ്യാപകമാക്കും	Will be expanded
ചോപ്രയുടെ	Chopra's
വിമര്‍ശനം	Criticism
മുണ്ടയായെത്തുന്നത്	Arriving as munda
നികുതി	tax
അപേക്ഷകര്‍	Applicants
ലാലിഗയില്‍	In LaLiga
ബ്ലാസ്റ്റേഴ്സിനെയോ	The Blasters?
കുടുംബങ്ങള്‍ക്ക്	For families.
രൂപയില്‍	In rupees
നേതാവ്	Leader
പ​ദ​വി	Status
ജയശങ്കര്‍	Jaishankar
നാഴികക്കല്ലിനരികെ	Near the milestone
പോ​ത്ത​നും​	Pothan and
ഉപയോഗിക്കാവുന്ന	Usable
മുമ്ബേ	Earlier
വാതില്‍പ്പടിയില്‍	At the doorstep.
ബോക്സോഫീസ്	Box Office
ഇന്ന്	today
പിന്തുണച്ചവരെല്ലാം	All those who supported
കൊഴിയുന്നു	Falling
സെന്റീമീറ്റര്‍	centimeters
മേ​ത്ത	Mehta
ക​ള​ങ്കില്‍	In Kalank
അടിയന്തരമായി	Urgently
ഗൂഗിള്‍	Google
കപ്പ	Kappa
കണ്ണു	The eye
ഏജന്‍റിനെ	Agent
കയറിയത്	Climbed in
സമര്‍പ്പിച്ചു	Submitted
മാവൂരിന്	Mavoorin
ആവുക	Be
അനുമതിയില്ലെങ്കില്‍	If you don't have permission
ഭുംറ	Bhumra
വി​പ​ണി​യു​മി​ല്ലാ​തെ	Without a market
എല്ലാം	all
മോഹന്‍ലാലോ	Mohanlal
ആദ്യസെമിയില്‍	In the first semi
ഓക്സ്ഫോര്‍ഡ്	Oxford
ഇന്‍സ‌്പെക്ടറായി	As an inspector
ഷെരീഫിനുമിടയില്‍	Between the sheriff and
മ്യൂസിക്	Music
ചിത്ര	Picture
കമ്ബനികളുടെയും	and companies
ടേണറെ	Turner
പണികിട്ടും	Work will be done
സ്വന്തമാക്കുമോ	Will you own it?
യുപിയുടെ	UP's
കുതിച്ച്‌	Jumping
ബാക്കിവന്ന	The rest of the
സുഭാഷ്	Subhash
ബസ്	The bus
റോറ്ക	Rorka
അടിമുടി	Absolutely
മാനസിക	Mental
അഴ‌്സണല്‍	Aznalanal
മാധവനോടൊപ്പം	With Madhavan
കാരണമിതാ	That's the reason.
പാ​ക്കി​സ്ഥാ​ന്‍	Pakistan
ച​​​ര​​​ക്കി​​​റ​​​ക്കു​​​ന്ന​​​തു​​​മാ​​​യി	with the unloading of goods
കശുവണ്ടി	Cashew nuts
പ്രവചിച്ച്‌	Predicting
ലാലീഗയില്‍	In La Liga
മറ്റൊന്ന്	The other
കല്യാണരാമന്	Kalyanaraman
ഫഹദിനെ	Fahad
കോമ്രേഡ്	Comrade
റിപ്പോര്‍ട്ട്‌	Report
ഏകദിനങ്ങളിലും	In ODIs as well
ബഹുഭൂരിപക്ഷം	The vast majority
തോന്നിയാല്‍	If you feel like
എളുപ്പത്തില്‍	Easily
കോ​ണ്ടി​മെ​ന്‍റ്സ്	Contiments
ബട്ടണ്‍	Button
മോഹമായിരുന്നു	It was desire
ഹാന്‍ഡിലിംഗ്	Handling
നിര്‍ത്തും	Will stop
ഉപഭോക്താക്കള്‍	Customers
സര്‍വീസുകള്‍	Services
സമദ്	Samad
ഗൂഗിളിന്	To Google
അ​ഭ​യ​കേ​ന്ദ്ര​മാ​യി​രുന്നു	It was a shelter
ലൊക്കേഷന്‍	Location
ഇ​​​​രു​​​​ട്ട​​​​ടി​​​​യാ​​​​കുമെന്ന്	It's going to be dark.
സൂചന	Hint
പിടിമുറുക്കി	Tightened the grip
വിഘ്‌നേഷിന്റെ	Vignesh's
ബിഎസ്‌എന്‍എല്ലിനെ	BSNL
ആല്‍ബ	Alba
ലഭിക്കുകയില്ല	Won't get it
അടക്കം	Including
പത്തനംതിട്ടയില്‍	In Pathanamthitta
ടിവിയില്‍	On TV.
ആവേശത്തികവിലേക്ക്	To the excitement
ജയിക്കാമായിരുന്നു	He could have won.
മുഖര്‍ജി	Mukherjee
പപ്പടം	Papads
സിത്താരയോ	Sithara
ഫെഡററും	and Federer
ചെയ്യാന്‍	to do
ഓഫീസിലേക്ക്	To the office.
അതല്ല	Not that
സ്കൈയുടെ	Skye's
ഉപഭോക്തൃ	Consumer
ഉണ്ടാകുമെന്ന്	There will be
നിരോധനത്തിന്	For the ban
വാല്‍വെര്‍ഡെ	Valverde
വയ്ക്കുമ്ബോള്‍	When it is placed
വി​പ​ണിയി​ല്‍	In the market
ടാറ്റയ്ക്ക്	For Tata
ഉപേക്ഷിച്ചോ	Did you give up?
വാര്‍ഷികവും	And the anniversary
ആന്‍ഡ്രേ	Andrei
സദസ്സും	And the audience
ഇന്ധനവില	Fuel prices
കാത്തേ	Kathe.
കോ​​ഹ്‌​ലി​​യെ	Kohli
ക്രൈംബ്രാഞ്ച്	Crime Branch
എന്നിവയ്ക്ക്	and
ന്യായവിലയില്‍	At a reasonable price
ടോം	Tom
വിദ്യാര്‍ത്ഥികള്‍ക്കും	And for the students.
ലൈഫ്	Life
കോഹ്‍ലി	Kohli
മ​ര​വ്യ​വ​സാ​യ	Timber Industry
ശേഷവും	And even after
ലക്ഷ്‍മി	Lakshmi
പൂര്‍ണമായി	completely
18ലെ	of 18
കുറിപ്പിന്	Note
മറ്റ്	Other
പ​​ര​​ന്പ​​ര	Paranpara
യു​കെ	UK
പരമാവധി	Maximum
ചൂടാണേയെന്ന്	It's hot.
ലിയും	And Li
കാരണമായ	Caused by
ര​ണ്ട്	two
വിട്ടുവീഴ്ചകളില്ലാത്ത	Without compromises
ഒപ്പുവയ്ക്കാനൊരുങ്ങുന്നു	Preparing to sign
ജോഹര്‍	Johar
മാ​​​റ്റു​​​ന്നു	Changing
ഇന്ത്യയുടെ	of India
ജെഎല്‍ആറിന്‍റെ	JLR's
മൈക്രോസോഫ്റ്റും	And Microsoft
എ​​​സ്	S.
വരുമ്ബോള്‍	When he comes
കണക്	Connect
ഓക്‌സലഡെയ്ക്ക്	To Oxlade
പ്രഖ്യാപനവും	And announcement
പുറത്തേക്ക്	Out of the way
വിശ്വാസതയില്ല	There is no trust.
കിംഗ്‌സ്	The Kings
ഗര്‍ഭിണിയായിരിക്കുമ്ബോള്‍	When you're pregnant
ഷോക്ക്	Shock
സ്ഥാപിക്കാന്‍	To install
നികുതിയിളവ്	Tax Exemption
ഉണ്ടായതാണ്	It was created
കുറിപ്പുമായി	with the note
ദിലീപിനും	Dileep and
ലോകകപ്പില്‍	In the World Cup
തോനല്‍	Thonal
കീഴെയുള്ള	Below
ബാറ്റിംഗിനിറങ്ങി	Came out to bat
പാര്‍വതി	Parvathy
അപകടമുണ്ട്	There's danger.
കാശ്മീര്‍	Kashmir
ബിജെപിയും	AND THE BJP
നഷ്ടപ്പെട്ടേക്കാമെന്ന	May be lost
ശ​ക്തം	Strong
വരുന്നുണ്ട്	It's coming.
നമ്ബറില്‍	At no.
ഗാലക്‌സി	Galaxy
അപേക്ഷ	Application
സമയത്തും	and time
ആട്ടിയോടിച്ചു	Driven away
ഇതരഭരണകാലത്തെന്ന്	during the other regime
ഗാര്‍ഗ്	Garg
അഞ്ചാമങ്കം	The fifth
സിന്തുബാദ്	Sintubad
ഗുജറാത്ത്	Gujarat
ഞാനുമായി	with me.
പ്രദര്‍ശനത്തിനൊരുങ്ങും	Will be ready for exhibition
ജീവ	Jeeva
അങ്ങോട്ടും	There and there.
അസോസിയേഷന്‍	Association
നഷ്ടത്തെ	of the loss
ഹുഹായ്	Huhai
ഇ​നി	Now
ചുവപ്പ്	red
കഴിയില്ലെന്ന	Can't
എലിവേറ്റേഴ്‌സിന്റെ	of the elevators
താരവും	and the star
നെയ്മറിനെതിരെ	Against Neymar
തെറ്റിദ്ധാരണയും	and misunderstanding
സമയക്രമത്തില്‍	In time
ജേതാവിനു	To the winner
സുപ്രധാന	Important
കണ്ടിട്ടുണ്ട്	I've seen it
സമ്മേളന	Conference
രജിസ്ട്രേഷനുള്ളത്	Registered
വര്‍ഗീയ	Communal
വളര്‍ന്നത്	Grew up
വാറിനെ	Warin
തിരികെയെത്തിക്കാന്‍	To get back.
ഇം​ഗ്ലീ​ഷും	and English.
അതിനെ	it's
സ്ഥാനത്തെക്കുറിച്ച്‌	About the location
യുവിയുടെ	Yuvi's
ലോകകപ്പിലെ	In the World Cup
പിഴച്ചത്	Wrong
മീ​ഡി​യ	Media
സംവിധായകന്റെ	The director's
സ്റ്റേഡിയത്തിലെ	in the stadium.
സേതുപതിയും	Sethupathi and
വിക്കറ്റ്‌	wicket
നിര്‍മ്മിക്കുന്നത്	Produced
രക്ഷിച്ചു	Saved
ഗംഭീരമാക്കി	Great made
ഒന്നരലക്ഷം	One and a half lakh
റംസാന്‍	Ramzan
ജീം	Jim
കാത്തിരിപ്പ്	Waiting
ആ​പ്പു​ക​ള്‍	Apps
എ​ക്സ്ചേ​ഞ്ച്	Exchange
ക്യമാറ	Camara
വി​പ​ണി​ക്കു	For the market
വില്ലന്‍	The Villain
ആസ്വദിക്കൂ	Enjoy it.
2024വരെ	Until 2024.
ഇറക്കമുള്ള	Downward
വന്നവരല്ലേ	They didn't come.
അവസാനഘട്ടത്തില്‍	In the final stages
ഹോസ്റ്റസുമാര്‍ക്ക്	For hostesses
പോവില്ലെന്ന്	Not going to go.
തിരിച്ചടികള്‍	Setbacks
സര്‍വേഫലം	Survey Results
സീതയുടെ	Sita's
റിപ്പബ്ലിക്	Republic
കരുതുന്നു	I think
മമ്മൂട്ടിക്ക്	Mammootty
മഹിയുടെ	Mahi's
ജയരാജന്‍	Jayarajan
പാന്‍	Pan
ശര്‍മ്മയ്ക്ക്	For Sharma
ഗോസ്വാമിയെ	Goswami
വസ്ത്ര	Clothing
പാകിസ്താനില്‍	In Pakistan
മണിക്കൂറിനുള്ളില്‍	within an hour
ഇയില്‍	In E
ബി	B
ഡെല്‍ഹിയില്‍	In Delhi
തന്നെയുണ്ട്	It's there.
ഗോവ	Goa
മോര്‍ട്ടല്‍	Mortal
സംരക്ഷണത്തിനും	for protection and protection
യെ​സ്	Yes.
യൂ​ണി​റ്റ്	Unit
അറിഞ്ഞ	known
നിവര്‍ത്തിയാല്‍	If stretched
അടച്ചുപൂട്ടുന്ന	Closing down
ഇന്ത്യയിലും	In India, too.
തിരിച്ചടിയായി	A setback
നെയ‌്ത്ത‌്	Weite
പോവാന്‍	To go
നെഞ്ചോട്‌	To the chest
അനുഷ്‌ക	Anushka
അതിനൊരു	That's a
മേധാവികളുമായി	with the chiefs
തേടിയുള്ള	In search of
വര്‍ഷത്തിനിടെ	During the year
മി	Mr.
ലൈസന്‍സ്	License
പഠിച്ച്‌	Studying
വളരുമെന്ന്	That it will grow
ബി​​​ഗ്	Big Big
ഇടിവോടെ്	With a decline
മാര്‍ക്കറ്റ്	Market
അല്ലു	Allu
പരാജയം	Failed
തോന്നണില്ലാട്ടാ	I don't think so.
ലേബര്‍	Labour
മതമൗലികവാദത്തിനുമെതിരെ	and against religious fundamentalism
അനാനിലെ	of Anan
യാഥാര്‍ഥ്യമാകുക	Become Real
അവസാനിക്കാന്‍	To end
കഴിഞ്ഞാലും	Even if it's over
ചര്‍ച്ചകള്‍	Discussions
സിനിമയിലവതരിപ്പിക്കുമ്ബോള്‍	When it is presented in the film
മോഹി	Mohi
മഞ്ഞില്‍	In the snow.
തരൂരിന്റെ	Tharoor's
ലൂക്കസ്	Lucas
